name,city,cuisines,cost,online_delivery,rating,votes,value_score
Austin's BBQ and Oyster Bar,Albany,"BBQ, Burger, Seafood",25,No,3.3,35,132.0
BJ's Country Buffet,Albany,"American, BBQ",10,No,3.3,25,329.99999999999994
Elements Coffee Co - Northwest,Albany,"Coffee and Tea, Sandwich",10,No,3.4,26,339.99999999999994
Chick-fil-A,Albany,Fast Food,10,No,3.5,67,350.0
Guang Zhou Chinese Restaurant,Albany,"Asian, Chinese, Vegetarian",10,No,3.9,141,390.0
Harvest Moon,Albany,"Pizza, Bar Food, Sandwich",25,No,3.7,147,148.00000000000003
Henry Campbell's Steakhouse,Albany,"Steak, Tapas, Bar Food",70,No,3.5,51,50.0
Hong Kong Cafe,Albany,"Chinese, Seafood, Vegetarian",25,No,3.6,88,144.00000000000003
House of China Restaurant II,Albany,Chinese,10,No,3.8,153,380.0
Locos Grill & Pub,Albany,"American, Burger, Sandwich",25,No,3.5,57,140.0
Longhorn Steakhouse,Albany,"American, Steak",25,No,3.5,58,140.0
Mikata Japanese Steakhouse,Albany,"Japanese, Steak, Sushi",40,No,3.6,115,90.0
Shogun Japanese Steak House,Albany,"Japanese, Steak, Sushi",40,No,3.5,51,87.5
The Catch Seafood Room & Oyster Bar,Albany,"Seafood, Tapas, Bar Food",40,No,3.8,250,95.0
Villa Gargano,Albany,"Italian, Pizza",10,No,3.7,117,370.0
3 Squares Diner,Albany,"American, Breakfast, Diner",10,No,3.4,20,339.99999999999994
Whitebull Hotel,Armidale,"Bar Food, Steak",20,No,3.5,25,175.0
Last Resort Grill,Athens,"American, Southern, Southwestern",40,No,4.5,1821,112.5
Mama's Boy Restaurant,Athens,Southern,10,No,4.5,849,450.0
Sr. Sol 1,Athens,Mexican,10,No,4.6,917,459.99999999999994
Choo Choo Eastside,Athens,"Japanese, Korean",10,No,3.9,439,390.0
The Grill,Athens,"Breakfast, Burger, Sandwich",10,No,3.7,289,370.0
Big City Bread Cafe,Athens,"Breakfast, Sandwich",10,No,4.3,558,430.0
Clocked,Athens,"American, Burger, Sandwich",10,No,4.2,613,420.00000000000006
DePalma's Italian Cafe - Downtown,Athens,"American, Italian, Pizza",25,No,4.0,353,160.0
DePalma's Italian Cafe - East Side,Athens,"American, Italian, Pizza",25,No,4.1,387,163.99999999999997
Five & Ten,Athens,American,40,No,4.3,755,107.5
Grit,Athens,"International, Southern, Vegetarian",10,No,4.2,800,420.00000000000006
Ike & Jane,Athens,Sandwich,10,No,4.1,350,410.0
La Dolce Vita Ristorante,Athens,Italian,40,No,4.1,464,102.5
Shokitini,Athens,"Asian, Japanese, Sushi",25,No,4.2,550,168.0
Taqueria Del Sol,Athens,"Mexican, Spanish",10,No,4.1,543,410.0
The National,Athens,"International, Southern",40,No,4.1,465,102.5
The Royal Peasant,Athens,Bar Food,10,No,4.4,546,440.00000000000006
Transmetropolitan,Athens,"Italian, Pizza, Sandwich",10,No,4.4,1098,440.00000000000006
Trappeze Pub,Athens,"Burger, Bar Food",25,No,4.2,579,168.0
Viva! Argentine Cuisine,Athens,"Desserts, Latin American, Argentine",10,No,4.1,374,410.0
Miyabi Kyoto Japanese Steak House,Augusta,"Chinese, Steak",40,No,4.6,717,114.99999999999999
Rae's Coastal Cafe,Augusta,"American, Caribbean, Seafood",40,No,4.9,548,122.50000000000001
The Bee's Knees,Augusta,"International, Tapas, Vegetarian",25,No,4.5,631,180.0
Boll Weevil Cafe,Augusta,"Desserts, Sandwich, Southern",10,No,3.9,372,390.0
Farmhaus Burger,Augusta,"American, Burger",25,No,3.9,201,156.0
Manuel's Bread Cafe,Augusta,"Breakfast, French",40,No,3.8,332,95.0
Sconyers Bar B Que,Augusta,BBQ,25,No,3.5,304,140.0
Frog Hollow Tavern,Augusta,American,40,No,4.3,368,107.5
Giuseppe's Pizza & Italian Specialities,Augusta,"Desserts, Italian, Pizza",25,No,4.1,430,163.99999999999997
Mellow Mushroom,Augusta,"Italian, Pizza, Sandwich",25,No,4.4,433,176.00000000000003
Nacho Mamas Burritos,Augusta,Mexican,10,No,4.0,380,400.0
Rhinehart's Oyster Bar,Augusta,"Bar Food, Sandwich, Seafood",25,No,4.0,456,160.0
Takosushi,Augusta,"Mexican, Southwestern, Sushi",40,No,4.2,647,105.00000000000001
The Chop House,Augusta,Steak,40,No,4.0,360,100.0
The Taj of India,Augusta,Indian,25,No,4.0,227,160.0
Augsburg Haus,Augusta,German,25,No,3.9,290,156.0
Pho Bac,Augusta,Vietnamese,10,No,4.1,270,410.0
Rhinehart's Oyster Bar,Augusta,"Burger, Seafood",25,No,4.0,326,160.0
Thai Kitchen,Augusta,Thai,35,No,4.3,317,122.85714285714285
El Kiosco Mexican Restaurant,Augusta,Mexican,10,No,4.2,300,420.00000000000006
Taste of Balingup,Balingup,Modern Australian,20,No,3.2,21,160.0
Bridge Road Brewers,Beechworth,"Pizza, Bar Food",20,No,4.6,237,229.99999999999997
Bardenay,Boise,"American, Bar Food",25,No,4.5,879,180.0
Flatbread Neapolitan Pizzeria,Boise,"Italian, Pizza",25,No,4.6,615,184.0
Goldy's Breakfast Bistro,Boise,"Breakfast, Sandwich",25,No,4.5,879,180.0
Chandlers Steakhouse,Boise,"American, Seafood, Steak",70,No,3.9,379,55.714285714285715
Bar Gernika Basque Pub & Eatery,Boise,"European, Spanish",10,No,4.3,303,430.0
Barbacoa Restaurant,Boise,"Latin American, Steak",70,No,4.1,538,58.57142857142857
Big Jud's,Boise,"American, Burger, Sandwich",10,No,4.2,334,420.00000000000006
Bittercreek Ale House,Boise,"American, Bar Food",25,No,4.3,555,172.0
Boise Fry Company,Boise,"American, Burger",10,No,4.4,823,440.00000000000006
Flying Pie Pizzaria,Boise,Pizza,25,No,4.1,550,163.99999999999997
Fork,Boise,"American, Burger",25,No,4.4,650,176.00000000000003
Guido's Original New York Style Pizza,Boise,Pizza,10,No,4.3,410,430.0
Los Beto's,Boise,Mexican,10,No,4.4,660,440.00000000000006
Lucianos Italian Restaurant,Boise,"Italian, Seafood, Vegetarian",25,No,4.4,360,176.00000000000003
Mai Thai Restaurant,Boise,"Sushi, Thai",40,No,4.0,340,100.0
Shige Japanese Cuisine,Boise,"Japanese, Sushi, Teriyaki",25,No,4.1,393,163.99999999999997
The Egg Factory,Boise,Breakfast,10,No,4.3,422,430.0
Tucanos,Boise,Brazilian,40,No,4.0,435,100.0
Texas Roadhouse,Boise,"American, BBQ, Steak",25,No,4.0,369,160.0
Brick 29,Boise,American,40,No,4.4,487,110.00000000000001
Winifreds,Cedar Rapids/Iowa City,"American, Mediterranean, Seafood",40,No,3.7,98,92.5
Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,"Italian, Pizza",40,No,4.1,365,102.5
El Super Burrito,Cedar Rapids/Iowa City,Mexican,10,No,4.1,190,410.0
Granite City Food & Brewery,Cedar Rapids/Iowa City,"American, Breakfast, Burger",40,No,4.1,429,102.5
Irish Democrat,Cedar Rapids/Iowa City,"American, BBQ, Burger",25,No,4.4,430,176.00000000000003
Taste of India,Cedar Rapids/Iowa City,Indian,25,No,4.2,186,168.0
Thai Moon Restaurant,Cedar Rapids/Iowa City,"Chinese, Sushi, Thai",10,No,4.2,220,420.00000000000006
Ting's Red Lantern,Cedar Rapids/Iowa City,Chinese,10,No,4.2,347,420.00000000000006
Monica's,Cedar Rapids/Iowa City,"American, Italian, Pizza",25,No,3.8,161,152.0
Exotic India,Cedar Rapids/Iowa City,Indian,25,No,4.1,160,163.99999999999997
Shorts Burger and Shine,Cedar Rapids/Iowa City,Burger,10,No,4.9,820,490.00000000000006
The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,"American, Breakfast, Burger",10,No,4.5,488,450.0
Bluebird Diner,Cedar Rapids/Iowa City,"Breakfast, Diner",25,No,3.6,253,144.00000000000003
Graze,Cedar Rapids/Iowa City,"American, International, Sushi",40,No,3.8,220,95.0
A & A Pagliai's Pizza,Cedar Rapids/Iowa City,Pizza,25,No,4.3,485,172.0
Atlas World Grill,Cedar Rapids/Iowa City,International,40,No,4.3,428,107.5
BlackStone,Cedar Rapids/Iowa City,"American, Breakfast",25,No,4.1,294,163.99999999999997
Devotay,Cedar Rapids/Iowa City,"Mediterranean, Tapas, Vegetarian",40,No,4.0,380,100.0
Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,BBQ,25,No,4.2,259,168.0
Zoeys Pizzeria,Cedar Rapids/Iowa City,"Pizza, Sandwich",25,No,4.7,433,188.0
Tokyo Sushi,Chatham-Kent,"Japanese, Sushi",25,No,3.7,176,148.00000000000003
Berry Patch Restaurant,Clatskanie,"American, Breakfast, Desserts",10,No,4.3,96,430.0
Sakura Sushi & Grill,Cochrane,"Asian, Japanese",25,No,3.1,6,124.0
Uptown Vietnam cuisine,Columbus,"Asian, Vietnamese",10,No,3.3,33,329.99999999999994
Cafe Le Rue @ The Landings,Columbus,"American, Seafood, Cajun",25,No,4.6,489,184.0
Mark's City Grille,Columbus,American,25,No,4.5,345,180.0
B Merrell's,Columbus,"Burger, Bar Food, Southern",25,No,3.8,149,152.0
Cannon Brewpub,Columbus,"Pizza, Bar Food",25,No,3.9,330,156.0
Fuji Japanese Steak House,Columbus,"Japanese, Steak",40,No,3.9,247,97.5
Ruth Ann's Family Restaurant,Columbus,"Breakfast, Diner, Southern",10,No,3.7,123,370.0
Samurai Japanese Cuisine & Sushi Bar,Columbus,"Japanese, Steak, Sushi",40,No,3.6,109,90.0
Wasabi Sushi and Thai,Columbus,"Japanese, Sushi, Thai",40,No,3.7,134,92.5
Buckhead Bar and Grill,Columbus,"Seafood, Steak, Vegetarian",40,No,4.2,722,105.00000000000001
Burt's Butcher Shoppe and Eatery,Columbus,Steak,25,No,4.3,213,172.0
Chef Lee's Peking Restaurant,Columbus,Chinese,25,No,4.0,335,160.0
Country's Barbecue,Columbus,"BBQ, Southern",25,No,4.0,353,160.0
Mellow Mushroom,Columbus,Pizza,25,No,4.1,192,163.99999999999997
Meritage,Columbus,"American, Tapas",40,No,4.1,302,102.5
Mongo The Mongolian Fire Pit,Columbus,"Asian, Chinese",10,No,4.2,355,420.00000000000006
The Black Cow,Columbus,American,25,No,4.3,287,172.0
Wood Stone,Columbus,"Italian, Mediterranean, Pizza",40,No,4.0,264,100.0
Hunter's Pub,Columbus,"American, Seafood, Steak",40,No,4.4,235,110.00000000000001
Consort Restaurant,Consort,"Chinese, Canadian",25,No,3.0,6,120.0
Thatcher's Barbeque and Grill,Dalton,"American, BBQ, Southern",25,No,3.7,38,148.00000000000003
Christian and Jake's Bistro,Dalton,"Desserts, Sandwich",10,No,4.4,122,440.00000000000006
Dub's High on the Hog,Dalton,BBQ,25,No,4.4,207,176.00000000000003
Sierra's Mexican Restaurant,Dalton,"Mexican, Tex-Mex",10,No,3.9,66,390.0
Oakwood Cafe,Dalton,"BBQ, Breakfast, Southern",10,No,4.9,249,490.00000000000006
Chili's Grill & Bar,Dalton,American,25,No,3.8,63,152.0
Fuji Japanese Steakhouse,Dalton,"Japanese, Sushi",40,No,3.8,145,95.0
Las Palmas,Dalton,Mexican,10,No,3.8,83,380.0
Tony's Italian Restaurant & Pizza,Dalton,Italian,25,No,3.7,116,148.00000000000003
Filling Station,Dalton,"American, Burger",10,No,4.1,122,410.0
Five Guys Burgers and Fries,Dalton,Fast Food,10,No,4.1,142,410.0
Los Pablos,Dalton,Mexican,10,No,4.1,114,410.0
Kobe Hibachi & Sushi,Dalton,"American, Japanese, Sushi",25,No,4.6,214,184.0
Soho Hibachi,Dalton,Japanese,10,No,4.3,116,430.0
Thai Garden,Dalton,Thai,25,No,4.2,111,168.0
Southern Bliss Bakery,Dalton,"Desserts, Sandwich",10,No,3.7,25,370.0
Bailey's Bar-B-Que,Dalton,BBQ,10,No,4.1,128,410.0
Farm To Fork,Dalton,"American, Diner, Southern",10,No,4.3,244,430.0
Home Plate Grill,Dalton,"American, BBQ, Southern",10,No,4.2,112,420.00000000000006
Pie Slingers Pizzeria,Dalton,"Italian, Pizza",10,No,4.1,144,410.0
Olive Tree Cafe,Davenport,"Indian, Mediterranean, Middle Eastern",25,No,4.6,166,184.0
"Red Ginger Sushi, Grill & Bar",Davenport,"Sushi, Teriyaki",40,No,4.5,208,112.5
Crust Stone Oven Pizza,Davenport,"Burger, Pizza",25,No,3.9,136,156.0
Jimmy's Pancake House,Davenport,"American, Breakfast, Greek",10,No,4.0,85,400.0
Trattoria Tiramisu,Davenport,Italian,25,No,4.1,117,163.99999999999997
Prairie Grille at SteepleGate Inn,Davenport,"American, Breakfast",25,No,3.4,53,136.0
Tantra Asian Bistro,Davenport,Asian,25,No,4.9,474,196.0
Chick-fil-A,Davenport,Fast Food,10,No,3.9,125,390.0
Duck City Bistro,Davenport,"American, French",70,No,3.7,201,52.85714285714286
China Cafe,Davenport,Chinese,25,No,4.0,112,160.0
Exotic Thai Restaurant,Davenport,Thai,25,No,4.1,256,163.99999999999997
Front Street Brewery,Davenport,American,10,No,4.3,123,430.0
Granite City Food & Brewery,Davenport,American,25,No,4.0,199,160.0
Los Agaves,Davenport,Mexican,25,No,4.1,157,163.99999999999997
Machine Shed Restaurant,Davenport,American,25,No,4.1,100,163.99999999999997
Osaka,Davenport,"Japanese, Sushi",40,No,4.2,141,105.00000000000001
Texas Roadhouse,Davenport,"American, BBQ, Steak",25,No,4.2,197,168.0
Hickory Park,Des Moines,"BBQ, Burger, Desserts",25,No,4.5,1025,180.0
The Cafe,Des Moines,"American, Coffee and Tea",25,No,4.9,570,196.0
Flying Mango,Des Moines,"BBQ, Caribbean, Cajun",40,No,4.5,674,112.5
Cool Basil,Des Moines,"Asian, Sushi, Thai",25,No,4.1,496,163.99999999999997
HuHot Mongolian Grill,Des Moines,"Asian, Chinese",25,No,4.0,411,160.0
Malo,Des Moines,"Latin American, Mexican",25,No,3.2,113,128.0
Centro,Des Moines,"Italian, Pizza",40,No,4.5,1109,112.5
Fong's Pizza,Des Moines,"Chinese, Pizza",25,No,4.6,728,184.0
A Dong Restaurant,Des Moines,"Asian, Vegetarian, Vietnamese, Bubble Tea",10,No,4.4,659,440.00000000000006
Court Avenue Brewing Company,Des Moines,"American, Pizza, Bar Food",40,No,4.2,370,105.00000000000001
Django,Des Moines,French,40,No,4.3,532,107.5
Miyabi 9,Des Moines,"Japanese, Sushi",25,No,4.8,860,192.0
Zombie Burger + Drink Lab,Des Moines,"Burger, Desserts, Vegetarian",10,No,4.2,943,420.00000000000006
Tursi's Latin King,Des Moines,"American, Italian",70,No,4.1,476,58.57142857142857
Tsing Tsao South,Des Moines,Chinese,10,No,4.1,218,410.0
Bandit Burrito,Des Moines,"Breakfast, Mexican, Southwestern",10,No,4.0,214,400.0
Jethro's BBQ,Des Moines,"American, BBQ",25,No,4.3,699,172.0
The Machine Shed Restaurant,Des Moines,"American, Breakfast",25,No,3.8,308,152.0
Mi Patria,Des Moines,Latin American,25,No,4.0,157,160.0
Waterfront Seafood Market,Des Moines,"Seafood, Sushi",40,No,4.2,530,105.00000000000001
The Giggling Goat,Dicky Beach,"Coffee and Tea, Tea, Modern Australian",7,No,3.6,29,514.2857142857143
Burnt Toast Cafe,Dubuque,Breakfast,10,No,3.4,33,339.99999999999994
Catfish Charlie's,Dubuque,Seafood,25,No,3.3,40,132.0
Salsa's Mexican Restaurant,Dubuque,Mexican,10,No,3.4,153,339.99999999999994
Tony Roma's,Dubuque,"American, BBQ, Seafood",25,No,3.3,65,132.0
Vinny Vanucchi's,Dubuque,Italian,25,No,3.4,58,136.0
Champps Americana,Dubuque,"American, Burger, Sandwich",25,No,3.5,100,140.0
Fiesta Cancun,Dubuque,Mexican,10,No,3.6,156,360.0
Houlihan's,Dubuque,"American, Burger",25,No,3.6,117,144.00000000000003
Ichiban Hibachi Steakhouse & Sushi Bar,Dubuque,"Japanese, Steak, Sushi",40,No,3.7,83,92.5
Kalmes Breaktime Bar & Grill,Dubuque,"American, Burger",25,No,3.6,48,144.00000000000003
L. May Eatery,Dubuque,"International, Pizza",40,No,3.8,198,95.0
Los Aztecas,Dubuque,Mexican,10,No,3.5,126,350.0
Manna Java World Cafe,Dubuque,"Breakfast, Pizza",10,No,3.5,119,350.0
Mario's Italian Restaurant,Dubuque,"American, Italian",25,No,3.6,140,144.00000000000003
Pepper Sprout Incorporated,Dubuque,American,40,No,3.6,159,90.0
Shot Tower Inn,Dubuque,"Italian, Pizza",25,No,3.6,131,144.00000000000003
Sunshine Family Restaurant,Dubuque,"American, Breakfast, Burger",10,No,3.5,60,350.0
Watershed Cafe,Dubuque,"American, Burger, Pizza, Cafe",25,No,3.7,89,148.00000000000003
Woodfire Grille,Dubuque,"American, Seafood, Steak",70,No,3.6,72,51.42857142857143
The Belle General,East Ballina,Cafe,20,No,4.1,56,205.0
Jehova es Mi Pastor Tacos y Burritos,Fernley,Mexican,10,No,3.7,83,370.0
Flaxton Gardens,Flaxton,"Tea, Modern Australian",30,No,3.5,37,116.66666666666667
Bespoke Harvest,Forrest,"Cafe, Australian",20,No,3.7,29,185.0
Houndstooth Grill & Tavern,Gainesville,"American, Sandwich, Seafood",25,No,4.4,239,176.00000000000003
Hawg Wild BBQ & Catfish House,Gainesville,"BBQ, Burger, Seafood",10,No,4.1,235,410.0
Bourbon Street Grille,Gainesville,"American, Burger, Cajun",25,No,3.8,88,152.0
Smokin Gold BBQ,Gainesville,BBQ,10,No,3.9,133,390.0
Hoka-Hoka Japanese Steak & Sushi,Gainesville,"Chinese, Japanese, Thai",10,No,4.4,267,440.00000000000006
Shenanigan's Irish Pub,Gainesville,"Bar Food, Seafood, Vegetarian",25,No,4.1,171,163.99999999999997
Fish Tales Lakeside Grille,Gainesville,Seafood,25,No,3.8,107,152.0
Antebellum,Gainesville,"American, Southern",40,No,4.3,164,107.5
Moonie's Texas Barbecue,Gainesville,"BBQ, Sandwich",10,No,4.1,182,410.0
Atlanta Highway Seafood Market,Gainesville,"Sandwich, Seafood, Cajun",25,No,4.9,681,196.0
Eat at Thai,Gainesville,Thai,10,No,4.6,357,459.99999999999994
Smoke House BBQ and Catering,Gainesville,BBQ,25,No,3.8,89,152.0
2 Dog,Gainesville,"American, European, Sandwich",25,No,4.2,350,168.0
Longstreet Cafe,Gainesville,Southern,10,No,4.3,298,430.0
Re-Cess,Gainesville,"American, Southern",25,No,4.2,319,168.0
Bodensee,Gainesville,German,40,No,3.8,114,95.0
Hofer's Bakery & Cafe,Gainesville,"German, Ice Cream",10,No,3.9,136,390.0
Troll Tavern,Gainesville,"Burger, German, Sandwich",25,No,2.2,108,88.00000000000001
The Nacoochee Village Tavern & Pizzeria,Gainesville,"Italian, Pizza, Sandwich",10,No,4.0,161,400.0
Blue Bean Love Cafe,Hepburn Springs,"Cafe, Coffee and Tea, Modern Australian",20,No,3.8,192,190.0
La Trattoria of Lavandula,Hepburn Springs,"Italian, Fusion, Cafe",7,No,3.8,93,542.8571428571428
5 Little Pigs,Huskisson,"Breakfast, Modern Australian",20,No,4.1,40,205.0
Beach Box Cafe,Inverloch,"Burger, Coffee and Tea, Modern Australian",7,No,3.7,100,528.5714285714286
Funkey Monkey,Lakes Entrance,"Breakfast, Coffee and Tea",7,No,3.8,97,542.8571428571428
Burger Queen Drive In,Lakeview,"Burger, Desserts, Sandwich",10,No,3.6,41,360.0
Blue Orchid Thai Restaurant,Lincoln,Thai,25,No,4.5,799,180.0
Stillwater on Belmore,Lorn,"Breakfast, Coffee and Tea",20,No,3.6,18,180.0
Mr.,Macedon,Cafe,20,No,3.5,31,175.0
Emilio's Cuban Cafe,Macon,"Coffee and Tea, Cuban, Latin American",25,No,3.9,146,156.0
Ingleside Village Pizza,Macon,"Pizza, Sandwich",10,No,4.9,478,490.00000000000006
Jim Shaw's Seafood Grill & Bar,Macon,Seafood,25,No,4.6,467,184.0
Mandarin Chinese Restaurant,Macon,"Chinese, Thai",25,No,4.5,302,180.0
Rookery,Macon,"Burger, Desserts, Bar Food",25,No,4.5,289,180.0
Bonefish Grill,Macon,"American, Seafood",40,No,4.1,293,102.5
Downtown Grill,Macon,Steak,70,No,4.0,195,57.14285714285714
Greek Corner Deli,Macon,"Desserts, Greek, Sandwich",10,No,4.3,244,430.0
Natalia's,Macon,"European, Italian, Mediterranean",70,No,4.2,379,60.00000000000001
Papouli's Mediterranean Cafe & Market,Macon,"Greek, Mediterranean, Vegetarian",10,No,4.2,223,420.00000000000006
Benson's Steak and Sushi,Macon,"American, Chinese, Sushi",25,No,3.7,243,148.00000000000003
My Fathers Place,Macon,Italian,25,No,3.7,104,148.00000000000003
Sushi Thai Restaurant,Macon,"Japanese, Sushi, Thai",10,No,3.7,153,370.0
The Mellow Mushroom,Macon,"Pizza, Sandwich, Vegetarian",25,No,3.8,323,152.0
El Jalisciense Mexican Restaurant,Macon,Mexican,10,No,4.1,181,410.0
Greek Village,Macon,"American, Greek, Seafood",25,No,4.0,316,160.0
